Estado,Acción,Q-valor
"(0, 0)",Derecha,0.720500717763641
"(0, 0)",Abajo,-0.6370379761108105
"(0, 0)",Izquierda,-0.628735573366222
"(0, 0)",Arriba,-0.6242324929680441
"(0, 1)",Derecha,-0.23225165020937216
"(0, 1)",Abajo,1.2007099148425808
"(0, 1)",Izquierda,-0.004771107267578595
"(0, 1)",Arriba,-0.5350965809521313
"(1, 1)",Derecha,-0.1779500800165783
"(1, 1)",Abajo,1.7448235588944765
"(1, 1)",Izquierda,-0.1549013884797223
"(1, 1)",Arriba,0.2943864822951023
"(2, 1)",Derecha,2.251677257462902
"(2, 1)",Abajo,-0.0022393332588041825
"(2, 1)",Izquierda,-0.09195655385310454
"(2, 1)",Arriba,0.5261670394085697
"(2, 0)",Derecha,0.8288099742244612
"(2, 0)",Abajo,-0.8273512657183352
"(2, 0)",Izquierda,-0.7611661272584693
"(2, 0)",Arriba,-0.8562518676266073
"(2, 2)",Derecha,2.861152412015837
"(2, 2)",Abajo,0.15739475991039367
"(2, 2)",Izquierda,0.6439011221395091
"(2, 2)",Arriba,0.36067175724540546
"(3, 1)",Derecha,-0.5301981245471761
"(3, 1)",Abajo,-0.727046431696827
"(3, 1)",Izquierda,-0.443749681
"(3, 1)",Arriba,0.7443962971282627
"(2, 3)",Derecha,0.09534796963266494
"(2, 3)",Abajo,3.44907564506466
"(2, 3)",Izquierda,1.0165016021051965
"(2, 3)",Arriba,-0.08974921100553755
"(1, 3)",Derecha,-0.3919331650526084
"(1, 3)",Abajo,0.9098221140978449
"(1, 3)",Izquierda,-0.34034714517476167
"(1, 3)",Arriba,-0.2975559415757685
"(3, 3)",Derecha,0.3835403583685998
"(3, 3)",Abajo,4.107063059408936
"(3, 3)",Izquierda,0.5790964832147065
"(3, 3)",Arriba,1.0474056235185032
"(4, 3)",Derecha,4.785566723373139
"(4, 3)",Abajo,0.9573056438642575
"(4, 3)",Izquierda,1.4718308516441176
"(4, 3)",Arriba,0.8390091697551152
"(4, 2)",Derecha,3.436059686789001
"(4, 2)",Abajo,0.18623603456800586
"(4, 2)",Izquierda,-0.20298344553768446
"(4, 2)",Arriba,0.10752627625670508
"(4, 4)",Derecha,5.472012071557476
"(4, 4)",Abajo,2.453350866295676
"(4, 4)",Izquierda,1.5697852460537254
"(4, 4)",Arriba,2.023673125547517
"(2, 4)",Derecha,-0.09243358840156313
"(2, 4)",Abajo,-0.3894371083481338
"(2, 4)",Izquierda,1.109091769112608
"(2, 4)",Arriba,-0.4189440564044736
"(2, 5)",Derecha,-0.4310577319930184
"(2, 5)",Abajo,0.9988827770904802
